Fact Id,Relevant Image,Heading,Fact,Read More Text,Linking article,Article ID
F11,https://en.wikipedia.org/wiki/1983_Cricket_World_Cup#/media/File:Prudential_Cup_83_logo.svg,ग्रुप स्‍टेज से आगे ,"भारत टूर्नामेंट के पहले के संस्करणों में कभी भी ग्रुप स्टेज से आगे नहीं बढ़ा था, लेकिन उसने 1983 विश्व कप जीता।",1983 विश्व कप के बारे में और पढ़ें,1983 विश्व कप,P2
F12,https://en.wikipedia.org/wiki/India_national_cricket_team#/media/File:Flagcricket.jpg,ग्रुप स्‍टेज से आगे,"भारत टूर्नामेंट के पहले के संस्करणों में कभी भी ग्रुप स्टेज से आगे नहीं बढ़ा था, लेकिन उसने 1983 विश्व कप जीता।",भारतीय क्रिकेट टीम के बारे में और पढ़ें,भारतीय क्रिकेट टीम,R1
F13,https://en.wikipedia.org/wiki/1983_Cricket_World_Cup#/media/File:Prudential_Cup_83_logo.svg,सबसे कम स्कोर के लक्ष्‍य को बचाया,भारत ने फाइनल में 183 रन बनाए थे जो विश्व कप फाइनल में किसी भी देश द्वारा सबसे कम स्कोर बनाकर जीतना है।,भारतीय क्रिकेट टीम के बारे में और पढ़ें,भारतीय क्रिकेट टीम,R1
F14,https://en.wikipedia.org/wiki/1987_Cricket_World_Cup#/media/File:Worldcup1987.jpg,50 ओवर,यह पहला विश्व कप था जिसमें 60 के बजाय 50 ओवर खेले गए थे।,1987 विश्व कप के बारे में और पढ़ें,1987 विश्व कप,P16
F15,https://en.wikipedia.org/wiki/1987_Cricket_World_Cup#/media/File:Worldcup1987.jpg,करीबी मुकाबला,ऑस्ट्रेलिया ने अपने कट्टर प्रतिद्वंद्वी इंग्लैंड को कोलकाता के ईडन गार्डन में सबसे रोमांचक विश्व कप फाइनल में 7 रन से हराया।,1987 विश्व कप के बारे में और पढ़ें,1987 विश्व कप,P16
F16,https://en.wikipedia.org/wiki/2007_Cricket_World_Cup#/media/File:Australian_World_Cup_treble.jpg,करीबी मुकाबला,ऑस्ट्रेलिया ने अपने कट्टर प्रतिद्वंद्वी इंग्लैंड को कोलकाता के ईडन गार्डन में सबसे रोमांचक विश्व कप फाइनल में 7 रन से हराया।,ऑस्ट्रेलियाई क्रिकेट टीम के बारे में और पढ़ें,ऑस्ट्रेलियाई क्रिकेट टीम,R2
F17,https://en.wikipedia.org/wiki/1987_Cricket_World_Cup#/media/File:Worldcup1987.jpg,अजेय वेस्ट इंडीज का पतन ,विश्व कप की शुरुआत के बाद वेस्टइंडीज पहली बार 1987 में ग्रुप स्‍टेज में क्वालीफाई करने में विफल रहा।,1987 विश्व कप के बारे में और पढ़ें,1987 विश्व कप,P16
F18,https://en.wikipedia.org/wiki/1992_Cricket_World_Cup#/media/File:World_Cup_1992_logo.svg,रंग ,"1992 विश्व कप में खिलाडि़यों के रंगीन कपड़े, क्रिकेट की सफेद गेंदें और काले रंग की साइट स्क्रीन दिखाई दी। ",1992 विश्व कप के बारे में और पढ़ें,1992 विश्व कप,P17
F19,https://en.wikipedia.org/wiki/1992_Cricket_World_Cup#/media/File:World_Cup_1992_logo.svg,रंगभेद की समाप्ति,1992 विश्व कप में रंगभेद की समाप्ति के बाद दक्षिण अफ्रीका ने पहली बार हिस्सा लिया था।,1992 विश्व कप के बारे में और पढ़ें,1992 विश्व कप,P17
F20,https://en.wikipedia.org/wiki/South_Africa_national_cricket_team#/media/File:South_African_Cricket_team_2008.jpg,रंगभेद की समाप्ति,1992 विश्व कप में रंगभेद की समाप्ति के बाद दक्षिण अफ्रीका ने पहली बार हिस्सा लिया था।,दक्षिण अफ्रीकी क्रिकेट टीम के बारे में और पढ़ें,दक्षिण अफ्रीकी क्रिकेट टीम,R14
F21,https://en.wikipedia.org/wiki/1992_Cricket_World_Cup#/media/File:World_Cup_1992_logo.svg,1 गेंद पर 22 रन,"इंग्लैंड और दक्षिण अफ्रीका के बीच खेले गये बारिश से बाधित सेमीफाइनल मैच में, ""सबसे अधिक रन वाले ओवर"" विधि का उपयोग करके अंतिम स्कोर की गणना की गई थी – जिसमें 13 गेंदों पर 22 रन के आवश्यक स्कोर को घटाकर 1 गेंद पर 22 रन करते हुए, उस वर्ष दक्षिण अफ्रीका के विश्व कप जीतने के सपने समाप्त हो गये। ",1992 विश्व कप के बारे में और पढ़ें,1992 विश्व कप,P17
F22,https://en.wikipedia.org/wiki/South_Africa_national_cricket_team#/media/File:South_African_Cricket_team_2008.jpg,1 गेंद पर 22 रन,"इंग्लैंड और दक्षिण अफ्रीका के बीच खेले गये बारिश से बाधित सेमीफाइनल मैच में, ""सबसे अधिक रन वाले ओवर"" विधि का उपयोग करके अंतिम स्कोर की गणना की गई थी – जिसमें 13 गेंदों पर 22 रन के आवश्यक स्कोर को घटाकर 1 गेंद पर 22 रन करते हुए, उस वर्ष दक्षिण अफ्रीका के विश्व कप जीतने के सपने समाप्त हो गये। ",दक्षिण अफ्रीकी क्रिकेट टीम के बारे में और पढ़ें,दक्षिण अफ्रीकी क्रिकेट टीम,R14
F23,https://en.wikipedia.org/wiki/1996_Cricket_World_Cup#/media/File:Wills_World_Cup_1996.svg,वॉकओवर जीत ,कोलंबो में आतंकवादी हमलों के कारण ऑस्ट्रेलिया और वेस्ट इंडीज ने श्रीलंका के खिलाफ अपने मैच गवाएं।,1996 विश्व कप के बारे में और पढ़ें,1996 विश्व कप,P3
F24,https://en.wikipedia.org/wiki/1996_Cricket_World_Cup#/media/File:Wills_World_Cup_1996.svg,मेजबान की जीत,"1996 विश्व कप में, श्रीलंका विश्व कप जीतने वाला पहला सह-मेजबान देश बना।",1996 विश्व कप के बारे में और पढ़ें,1996 विश्व कप,P3
F25,https://en.wikipedia.org/wiki/Sri_Lanka_national_cricket_team#/media/File:Sri_Lanka_Cricket_Cap_Insignia.svg,श्रीलंकाई क्रिकेट टीम,"1996 विश्व कप में, श्रीलंका विश्व कप जीतने वाला पहला सह-मेजबान देश बना।",1996 विश्व कप के बारे में और पढ़ें,श्रीलंकाई क्रिकेट टीम,R13
F26,https://en.wikipedia.org/wiki/1999_Cricket_World_Cup#/media/File:Wc99.png,ड्यूक गेंद विवाद,एक विवादित प्रकार की क्रिकेट बॉल – सफेद  ‘ड्यूक’ को 1999 के विश्व कप में पहली बार पेश किया गया था। यह ठोस और बहुत ज्‍यादा स्विंग होने वाली साबित हुई। ,1999 के विश्व कप के बारे में और पढ़ें,1999 विश्व कप,P4
F27,https://en.wikipedia.org/wiki/1999_Cricket_World_Cup#/media/File:Wc99.png,युद्ध में,"विश्व कप के इस संस्करण में अपने मैच के दौरान भारत और पाकिस्तान आधिकारिक तौर पर राजनीतिक परिदृश्‍य के युद्ध में लिप्‍त थे, दो देशों का किसी भी तरह का खेल खेलने का यह एकमात्र उदाहरण है। ",1999 के विश्व कप के बारे में और पढ़ें,1999 विश्व कप,P4
F28,https://en.wikipedia.org/wiki/India_national_cricket_team#/media/File:Flagcricket.jpg,युद्ध में,"विश्व कप के इस संस्करण में अपने मैच के दौरान भारत और पाकिस्तान आधिकारिक तौर पर राजनीतिक परिदृश्‍य के युद्ध में लिप्‍त थे, दो देशों का किसी भी तरह का खेल खेलने का यह एकमात्र उदाहरण है। ",भारतीय क्रिकेट टीम के बारे में और पढ़ें,भारतीय क्रिकेट टीम,R1
F29,https://en.wikipedia.org/wiki/1999_Cricket_World_Cup#/media/File:Wc99.png,बेनतीजा,"सेमीफाइनल में टाई होने के बावजूद, ऑस्ट्रेलिया  ‘सुपर सिक्‍स’ तालिका में बेहतर स्थिति में होने के कारण फाइनल में पहुंचा, दक्षिण अफ्रीका की तुलना में बेहतर नेट रन रेट होने के कारण। ",1999 के विश्व कप के बारे में और पढ़ें,1999 विश्व कप,P4
F30,https://en.wikipedia.org/wiki/2003_Cricket_World_Cup#/media/File:Cricket_World_Cup_Logo_2003.svg,पहला अफ्रीकी विश्व कप,2003 विश्व कप अफ्रीका में आयोजित होने वाला पहला संस्करण था।,2003 विश्व कप के बारे में और पढ़ें,2003 विश्व कप,P5
F31,https://en.wikipedia.org/wiki/2003_Cricket_World_Cup#/media/File:Cricket_World_Cup_Logo_2003.svg,केन्या,केन्या विश्व कप के सेमीफाइनल में पहुंचने वाला एकमात्र गैर-टेस्ट खेलने वाला देश बना।,2003 विश्व कप के बारे में और पढ़ें,2003 विश्व कप,P5
F32,https://en.wikipedia.org/wiki/2003_Cricket_World_Cup#/media/File:Cricket_World_Cup_Logo_2003.svg,शेन वार्न पर प्रतिबंध लगा,ऑस्ट्रेलियाई स्टार खिलाड़ी शेन वार्न को ड्रग टेस्‍ट में पॉजीटिव पाए जाने के बाद पहले मैच से पूर्व ही शर्मनाक परिस्थितियों में वर्ल्‍ड कप से वापस अपने देश भेज दिया गया था।,2003 विश्व कप के बारे में और पढ़ें,2003 विश्व कप,P5
F33,https://en.wikipedia.org/wiki/2007_Cricket_World_Cup#/media/File:2007_Cricket_World_Cup_logo.svg,अजेय ऑस्ट्रेलिया,टूर्नामेंट में ऑस्ट्रेलिया ने लगातार जीत के रिकॉर्ड के बढ़ाकर 29 लगातार जीत तक पहुंचाया। ,2007 विश्व कप के बारे में और पढ़ें,2007 विश्व कप,P6
F34,https://en.wikipedia.org/wiki/2007_Cricket_World_Cup#/media/File:Australian_World_Cup_treble.jpg,अजेय ऑस्ट्रेलिया,टूर्नामेंट में ऑस्ट्रेलिया ने लगातार जीत के रिकॉर्ड के बढ़ाकर 29 लगातार जीत तक पहुंचाया। ,ऑस्ट्रेलियाई क्रिकेट टीम के बारे में और पढ़ें,ऑस्ट्रेलियाई क्रिकेट टीम,R2
F35,https://en.wikipedia.org/wiki/2007_Cricket_World_Cup#/media/File:2007_Cricket_World_Cup_logo.svg,बॉब वूल्मर की मृत्यु,"पाकिस्तान के कोच बॉब वूल्मर 18 मार्च 2007 को आयरलैंड से उनकी टीम की हार, जिसने उन्‍हें विश्‍व कप की दौड़ से बाहर कर दिया था, के एक दिन के बाद मृत पाये गये ।",2007 विश्व कप के बारे में और पढ़ें,2007 विश्व कप,P6
F36,https://en.wikipedia.org/wiki/1996_Cricket_World_Cup#/media/File:Wills_World_Cup_1996.svg,निराशाजनक भारतीय प्रदर्शन,1979 के बाद पहली बार भारत ग्रुप स्‍टेज में क्वालीफाई करने में असफल रहा।,भारतीय क्रिकेट टीम के बारे में और पढ़ें,भारतीय क्रिकेट टीम,R1
F37,https://en.wikipedia.org/wiki/2011_Cricket_World_Cup#/media/File:2011_Cricket_World_Cup_Logo.svg,घरेलू मैदान पर जीत,भारत घरेलू मैदान पर विश्व कप जीतने वाला पहला देश बना। ,2011 विश्व कप के बारे में और पढ़ें,2011 विश्व कप,P7
F38,https://en.wikipedia.org/wiki/1996_Cricket_World_Cup#/media/File:Wills_World_Cup_1996.svg,घरेलू मैदान पर जीत,भारत घरेलू मैदान पर विश्व कप जीतने वाला पहला देश बना। ,भारतीय क्रिकेट टीम के बारे में और पढ़ें,भारतीय क्रिकेट टीम,R1
F39,https://en.wikipedia.org/wiki/2011_Cricket_World_Cup#/media/File:2011_Cricket_World_Cup_Logo.svg,2.2 बिलियन दर्शक,2011 विश्व कप दुनिया भर में 2.2 बिलियन वर्ल्डव्यूवर्स के साथ सबसे अधिक दर्शकों वाला संस्करण बना। ,2011 विश्व कप के बारे में और पढ़ें,2011 विश्व कप,P7
F40,https://en.wikipedia.org/wiki/2011_Cricket_World_Cup#/media/File:2011_Cricket_World_Cup_Logo.svg,दो बार टॉस किया गया,"फाइनल मुकाबले में भीड़ के तेज शोर के कारण टॉस को दुबारा किया गया, जो विशेष रूप से विश्व कप फाइनल जैसे एक प्रमुख कार्यक्रम में एक असामान्‍य बात है।",2011 विश्व कप के बारे में और पढ़ें,2011 विश्व कप,P7
F41,https://en.wikipedia.org/wiki/2015_Cricket_World_Cup#/media/File:2015_Cricket_World_Cup_Logo.svg,सुपर ओवर,"2015 में, अंतरराष्ट्रीय क्रिकेट कंट्रोल बोर्ड(आईसीसी) ने क्रिकेट विश्व कप फाइनल के लिए मैच टाई होने की स्थिति में सुपर ओवर के इस्‍तेमाल को लागू किया। ",2015 विश्व कप के बारे में और पढ़ें,2015 विश्व कप,P8
F42,https://en.wikipedia.org/wiki/2015_Cricket_World_Cup#/media/File:2015_Cricket_World_Cup_Logo.svg,फाइनल में कोई एशियाई देश नहीं,"1992 के बाद पहली बार 2015 विश्व कप का फाइनल ऐसा था, जिसमें कोई एशियाई टीम नहीं थी।",2015 विश्व कप के बारे में और पढ़ें,2015 विश्व कप,P8
F43,https://en.wikipedia.org/wiki/Virat_Kohli#/media/File:Virat..Kohli.jpg,पहला शतक ,विराट कोहली विश्व कप के पदार्पण मैच में शतक लगाने वाले पहले भारतीय बल्लेबाज हैं।,विराट कोहली के बारे में और पढ़ें,विराट कोहली,O1
F44,https://en.wikipedia.org/wiki/MS_Dhoni#/media/File:Mahendra_Singh_Dhoni_January_2016_(cropped).jpg,थाला धोनी,धोनी विश्व कप में सभी ग्रुप स्टेज मैच जीतने वाले पहले भारतीय कप्तान हैं।,एम.एस धोनी के बारे में और पढ़ें,एम.एस धोनी,O2
F45,https://en.wikipedia.org/wiki/MS_Dhoni#/media/File:Mahendra_Singh_Dhoni_January_2016_(cropped).jpg,धोनी 100,"2015 के क्रिकेट विश्व कप में, धोनी 100 जीत दर्ज करने वाले पहले भारतीय कप्तान और पहले गैर-ऑस्ट्रेलियाई कप्तान बने।",एम.एस धोनी के बारे में और पढ़ें,एम.एस धोनी,O2
F46,https://en.wikipedia.org/wiki/Rohit_Sharma#/media/File:Rohit_Sharma_November_2016_(cropped).jpg,हिटमैन,"71 छक्कों के साथ, शर्मा ने एक वर्ष (2018) में सबसे अधिक छक्के लगाए।",रोहित शर्मा के बारे में और पढ़ें,रोहित शर्मा,O3
F47,https://en.wikipedia.org/wiki/Shikhar_Dhawan#/media/File:SHIKHAR_DHAWAN_(16005494418).jpg,अनुभवी खिलाड़ी,"आईसीसी टूर्नामेंटों में लगातार रन बनाने वाला, इन्‍होंने आईसीसी टूर्नामेंटों में सबसे तेज 1000 रन बनाने का रिकॉर्ड बनाया है।",शिखर धवन के बारे में और पढ़ें,शिखर धवन,O4
F48,https://en.wikipedia.org/wiki/David_Warner_(cricketer)#/media/File:DAVID_WARNER_(11704782453).jpg,प्रथम श्रेणी का कोई अनुभव नहीं,"वॉर्नर 132 वर्षों में पहले ऑस्ट्रेलियाई क्रिकेटर हैं, जिन्हें प्रथम श्रेणी क्रिकेट में अनुभव के बिना किसी भी प्रारूप की राष्ट्रीय टीम के लिए चुना गया है।",डेविड वॉर्नर के बारे में और पढ़ें,डेविड वॉर्नर,O26
F49,https://en.wikipedia.org/wiki/Kane_Williamson#/media/File:Kane_Williamson_(9773667991).jpg,सबसे युवा खिलाड़ी,केन विलियमसन सभी टेस्ट खेलने वाले देशों के खिलाफ शतक लगाने वाले सबसे युवा खिलाड़ी हैं,केन विलियमसन के बारे में और पढ़ें,केन विलियमसन,O30
F50,https://en.wikipedia.org/wiki/Jos_Buttler#/media/File:Jos_Buttler_2017.jpg,पांच अर्द्धशतक,जोस बटलर आईपीएल इतिहास में लगातार मैचों में पचास या उससे अधिक के पांच स्कोर हासिल करने वाले दूसरे बल्लेबाज हैं।,जोस बटलर के बारे में और पढ़ें,जोस बटलर,O32
F51,"https://en.wikipedia.org/wiki/Chris_Gayle#/media/File:Chris_Gayle,_2010_(1).jpg",गेल का तूफान,"टेस्ट में तिहरा शतक, वनडे में दोहरा शतक और ट्वेंटी -20 अंतरराष्ट्रीय में शतक लगाने वाले गेल विश्व क्रिकेट के अकेले खिलाड़ी हैं।",क्रिस गेल के बारे में और पढ़ें,क्रिस गेल,O27
F52,https://en.wikipedia.org/wiki/Kagiso_Rabada#/media/File:Rabada.jpg,कगिसो रबाडा,रबाडा टेस्ट क्रिकेट में 150 विकेट लेने वाले सबसे युवा गेंदबाज हैं।,कगिसो रबाडा के बारे में और पढ़ें,कगिसो रबाडा,O38
F53,https://en.wikipedia.org/wiki/1996_Cricket_World_Cup#/media/File:Wills_World_Cup_1996.svg,300+,भारतीय क्रिकेट टीम ने 300+ स्कोर का सबसे अधिक 90 बार स्कोर करने का रिकॉर्ड बनाया है।,भारतीय क्रिकेट टीम के बारे में और पढ़ें,भारतीय क्रिकेट टीम,R1
F54,https://en.wikipedia.org/wiki/2007_Cricket_World_Cup#/media/File:Australian_World_Cup_treble.jpg,चार विश्व कप फाइनल,ऑस्ट्रेलियाई टीम ने 1996 से 2007 के बीच लगातार चार विश्व कप फाइनल खेलने का रिकॉर्ड बनाया।,ऑस्ट्रेलियाई क्रिकेट टीम के बारे में और पढ़ें,ऑस्ट्रेलियाई क्रिकेट टीम,R2
F55,https://en.wikipedia.org/wiki/England_cricket_team#/media/File:The_England_Cricket_Team_Ashes_2015.jpg,सबसे पुरानी क्रिकेट टीम,इंग्लैंड का प्रतिनिधित्व करने का दावा करने वाली पहली टीम का रिकॉर्ड 9 जुलाई 1739 से मिलता है। ,इंग्लैंड क्रिकेट टीम के बारे में और पढ़ें,इंग्लैंड क्रिकेट टीम,R4
F56,https://en.wikipedia.org/wiki/West_Indies_cricket_team#/media/File:BrianLaraUkexpat.jpg,वेस्ट इंडीज की ताकत,"वेस्टइंडीज एक बहु-राष्ट्रीय क्रिकेट टीम है, जो पंद्रह कैरेबियाई क्षेत्रों की श्रृंखला से चुने गए खिलाड़ियों के साथ एंग्लोफोन कैरेबियन क्षेत्र का प्रतिनिधित्व करती है।",वेस्ट इंडीज क्रिकेट टीम के बारे में और पढ़ें,वेस्ट इंडीज टीम,R3
